Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
help-center669.crabdance.com,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1
atacadao.juliamouracalcados.com.br,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
bisabsbo--biisaaabsbo.repl.co,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
caseid1005789345734958.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
member.baowencup.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
outlook519.yolasite.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
rakutemne.buzz,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1
wl-flufworld.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
zonasegura.mibanco.com.pe,0,0,0,2,0,0,0,0,0,1,1,0,1,1,0,1
bit.do,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
forms.monday.com,0,0,1,2,0,0,0,0,0,0,1,0,1,1,0,1
208.82.115.230,0,0,0,4,0,0,0,0,1,1,1,1,1,1,0,1
str-dhh1434.web.app,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
pobrxonnec.web.app,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
etc-ddsad.2waky.com,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
ourverifiablelocus.abbeanca.repl.co,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
lbp-help.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
e.vg,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1
ipfs.io,0,0,1,2,0,0,0,0,0,0,1,1,1,1,0,1
pagesidentityandaccountverify202224.ga,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
storageapi.fleek.co,0,0,1,3,0,0,0,0,0,0,1,1,1,1,1,1
chesapeaketw.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
